date,exercise,trainee_id,spotter_id,sex,load_kg,reps,tut_set,forced_rep_no,trainee_perception_assistance,spotter_perception_assistance,actual_assistance_kg
28/01/2019,bench press,5,20,f,45,12,88,1,90,25,4.2
28/01/2019,bench press,14,22,m,55,12,96,1,90,30,14.4
02/07/2018,bench press,26,41,m,70,11,93,1,15,45,20
29/01/2018,bench press,42,29,m,55,14,97,1,10,7,5.1
27/01/2020,bench press,39,28,f,45,15,65,1,20,10,5.9
28/01/2019,bench press,33,16,m,55,12,81,1,90,50,12.3
29/01/2018,bench press,7,15,m,65,14,103,1,20,10,15.2
27/01/2020,bench press,12,25,f,40,10,71,1,20,10,4.2
27/01/2020,bench press,34,8,m,70,13,86,1,30,15,8.2
27/01/2020,bench press,30,10,m,50,17,123,1,50,15,7.1
29/01/2018,bench press,36,19,m,55,12,73,1,50,15,17.1
27/01/2020,bench press,25,3,f,45,14,99,1,78,11,6.5
29/01/2018,bench press,43,24,m,60,14,97,1,5,20,16.6
02/07/2018,bench press,17,26,m,70,8,71,1,10,5,4.8
27/01/2020,bench press,11,37,m,70,9,67,1,40,25,16.5
02/07/2018,bench press,23,31,m,50,15,89,1,60,45,18.9
28/01/2019,bench press,18,14,m,60,12,86,1,40,15,9.6
02/07/2018,bench press,21,32,m,50,17,122,1,5,15,9
28/01/2019,bench press,13,38,m,70,13,95,1,40,20,13.5
02/07/2018,bench press,9,12,m,70,12,91,1,10,25,9.8
27/01/2020,bench press,3,17,f,45,17,127,1,20,30,8.8
27/01/2020,bench press,10,30,m,50,12,89,1,30,6,9.9
27/01/2020,bench press,22,40,f,40,12,86,1,20,30,7.7
29/01/2018,bench press,29,42,m,45,13,97,1,15,30,5.9
28/01/2019,bench press,16,33,m,70,13,104,1,90,20,5.1
27/01/2020,bench press,28,39,f,40,12,87,1,25,10,3.2
28/01/2019,bench press,27,35,m,55,18,123,1,70,35,18
27/01/2020,bench press,8,34,m,60,13,104,1,70,45,19.8
29/01/2018,bench press,19,36,m,55,16,110,1,25,25,14.4
02/07/2018,bench press,41,9,m,70,13,98,1,25,10,3.7
28/01/2019,bench press,20,5,m,45,16,126,1,60,15,4.3
29/01/2018,bench press,15,7,m,55,13,101,1,10,20,10.9
27/01/2020,bench press,37,11,m,70,12,84,1,25,20,15.8
02/07/2018,bench press,31,4,m,70,16,88,1,50,10,13.9
29/01/2018,bench press,24,6,m,55,13,91,1,20,5,6.1
29/01/2018,bench press,2,1,m,55,13,99,1,20,20,13.5
02/07/2018,bench press,32,21,m,50,8,53,1,30,10,13.8
28/01/2019,bench press,5,20,f,45,12,88,2,25,65,11.2
28/01/2019,bench press,14,22,m,55,12,96,2,30,40,29
02/07/2018,bench press,26,41,m,70,11,93,2,30,55,23.1
29/01/2018,bench press,42,29,m,55,14,97,2,70,15,9.2
27/01/2020,bench press,39,28,f,45,15,65,2,50,25,18.8
28/01/2019,bench press,33,16,m,55,12,81,2,50,90,21.8
29/01/2018,bench press,7,15,m,65,14,103,2,60,40,28.4
27/01/2020,bench press,12,25,f,40,10,71,2,85,70,8.4
27/01/2020,bench press,34,8,m,70,13,86,2,15,20,2.9
27/01/2020,bench press,30,10,m,50,17,123,2,70,80,26.4
29/01/2018,bench press,36,19,m,55,12,73,2,80,40,17.2
27/01/2020,bench press,25,3,f,45,14,99,2,95,18,18.8
29/01/2018,bench press,43,24,m,60,14,97,2,35,45,25
02/07/2018,bench press,17,26,m,70,8,71,2,35,10,8.9
27/01/2020,bench press,11,37,m,70,9,67,2,55,30,23.5
02/07/2018,bench press,23,31,m,50,15,89,2,90,60,23.2
28/01/2019,bench press,18,14,m,60,12,86,2,15,60,12.9
02/07/2018,bench press,21,32,m,50,17,122,2,20,70,33.2
28/01/2019,bench press,13,38,m,70,13,95,2,20,70,15.9
02/07/2018,bench press,9,12,m,70,12,91,2,30,45,8.6
27/01/2020,bench press,3,17,f,45,17,127,2,40,65,21
27/01/2020,bench press,10,30,m,50,12,89,2,75,10,19.9
27/01/2020,bench press,22,40,f,40,12,86,2,80,70,9.1
29/01/2018,bench press,29,42,m,45,13,97,2,35,90,10.4
28/01/2019,bench press,16,33,m,70,13,104,2,20,50,16.4
27/01/2020,bench press,28,39,f,40,12,87,2,85,25,10.9
28/01/2019,bench press,27,35,m,55,18,123,2,35,60,16
27/01/2020,bench press,8,34,m,60,13,104,2,85,20,19.9
29/01/2018,bench press,19,36,m,55,16,110,2,70,70,20.5
02/07/2018,bench press,41,9,m,70,13,98,2,40,15,10
28/01/2019,bench press,20,5,m,45,16,126,2,15,25,8.4
29/01/2018,bench press,15,7,m,55,13,101,2,60,50,16.7
27/01/2020,bench press,37,11,m,70,12,84,2,70,45,25.1
02/07/2018,bench press,31,4,m,70,16,88,2,70,50,26.8
29/01/2018,bench press,24,6,m,55,13,91,2,45,20,22.2
29/01/2018,bench press,2,1,m,55,13,99,2,40,40,29.8
02/07/2018,bench press,32,21,m,50,8,53,2,90,30,56
